,School,State,ACT_Score,SAT_Score,Retention_Rate,Ave_Earning,Graduation_Rate
0,Alabama A & M University,AL,18.0,957.0,0.6087,28704.0,0.0556
1,University of Alabama at Birmingham,AL,25.0,1220.0,0.8186,39271.0,0.3469
2,University of Alabama in Huntsville,AL,28.0,1314.0,0.8288,47533.0,0.2195
3,Alabama State University,AL,18.0,972.0,0.5868,25949.0,0.0975
4,The University of Alabama,AL,27.0,1252.0,0.8788,44485.0,0.5049
5,Auburn University at Montgomery,AL,21.0,1084.0,0.6699,33326.0,0.1196
6,Auburn University,AL,28.0,1289.0,0.8999,49695.0,0.4991
7,Birmingham-Southern College,AL,26.0,1232.0,0.7994,42523.0,0.6338
8,Faulkner University,AL,21.0,1069.0,0.5434,32902.0,0.1147
9,Huntingdon College,AL,22.0,1100.0,0.6701,37025.0,0.32
10,Jacksonville State University,AL,23.0,1135.0,0.7543,34081.0,0.1813
11,Judson College,AL,20.0,1054.0,0.6154,29785.0,0.2769
12,University of West Alabama,AL,21.0,1059.0,0.6239,34478.0,0.1917
13,University of Mobile,AL,22.0,1094.0,0.7566,33075.0,0.354
14,University of Montevallo,AL,24.0,1170.0,0.7593,32169.0,0.2876
15,University of North Alabama,AL,23.0,1134.0,0.7534,35791.0,0.2067
16,Oakwood University,AL,19.0,999.0,0.7131,28749.0,0.2108
17,Samford University,AL,26.0,1228.0,0.9032,45778.0,0.6404
18,University of South Alabama,AL,24.0,1186.0,0.7441,36829.0,0.2163
19,Spring Hill College,AL,23.0,1130.0,0.7215,37808.0,0.5017
20,Troy University,AL,21.0,1082.0,0.7278,32760.0,0.2104
21,Tuskegee University,AL,22.0,1119.0,0.7041,35093.0,0.3415
22,University of Alaska Fairbanks,AK,22.0,1128.0,0.7339,35456.0,0.2041
23,Arizona State University Campus Immersion,AZ,26.0,1240.0,0.8765,46621.0,0.5191
24,University of Arizona,AZ,25.0,1198.0,0.8124,43784.0,0.4655
25,Arizona Christian University,AZ,20.0,1032.0,0.5921,35500.0,0.4512
26,University of Arkansas at Little Rock,AR,22.0,1099.0,0.6764,35410.0,0.195
27,Lyon College,AR,25.0,1195.0,0.7143,30527.0,0.4528
28,University of Arkansas,AR,26.0,1238.0,0.838,43807.0,0.4707
29,University of Arkansas at Pine Bluff,AR,18.0,978.0,0.7036,26331.0,0.1139
30,Arkansas State University,AR,24.0,1189.0,0.765,32687.0,0.3098
31,University of Central Arkansas,AR,24.0,1186.0,0.7405,34259.0,0.2268
32,Central Baptist College,AR,19.0,1004.0,0.5368,33652.0,0.0192
33,Harding University,AR,26.0,1222.0,0.8464,39240.0,0.459
34,Henderson State University,AR,22.0,1116.0,0.6439,32627.0,0.2127
35,Hendrix College,AR,30.0,1346.0,0.858,38321.0,0.6612
36,John Brown University,AR,27.0,1257.0,0.8,41915.0,0.5629
37,Ouachita Baptist University,AR,25.0,1193.0,0.8315,38561.0,0.5978
38,University of the Ozarks,AR,21.0,1079.0,0.7529,32401.0,0.3631
39,Williams Baptist University,AR,20.0,1034.0,0.5211,32457.0,0.3284
40,Southern Arkansas University Main Campus,AR,22.0,1105.0,0.6534,32077.0,0.2574
41,Azusa Pacific University,CA,24.0,1147.0,0.8143,49365.0,0.4531
42,Biola University,CA,24.0,1170.0,0.8596,42464.0,0.5536
43,California Baptist University,CA,22.0,1103.0,0.7627,46036.0,0.3619
44,California Institute of Technology,CA,36.0,1566.0,0.9787,129420.0,0.8061
45,California Lutheran University,CA,24.0,1163.0,0.8274,49746.0,0.6918
46,California Polytechnic State University-San Luis Obispo,CA,29.0,1339.0,0.9416,66662.0,0.4799
47,California State University-San Bernardino,CA,18.0,991.0,0.8627,42079.0,0.1246
48,California State Polytechnic University-Pomona,CA,23.0,1143.0,0.8661,51735.0,0.2128
49,California State University-Chico,CA,21.0,1092.0,0.8505,47409.0,0.2772
50,California State University-Fresno,CA,19.0,1019.0,0.8113,42306.0,0.1551
51,California State University-Fullerton,CA,22.0,1124.0,0.8813,45657.0,0.2195
52,California State University-Long Beach,CA,23.0,1146.0,0.8717,46059.0,0.1674
53,California State University-Los Angeles,CA,18.0,978.0,0.8179,42517.0,0.089
54,California State University-Northridge,CA,19.0,1027.0,0.811,42178.0,0.1441
55,California State University-Sacramento,CA,19.0,1030.0,0.815,47905.0,0.0903
56,University of California-Berkeley,CA,33.0,1448.0,0.9685,65914.0,0.7449
57,University of California-Davis,CA,28.0,1292.0,0.9207,54621.0,0.6085
58,University of California-Irvine,CA,29.0,1316.0,0.9299,52679.0,0.6761
59,University of California-Los Angeles,CA,32.0,1423.0,0.9704,55427.0,0.7686
60,University of California-Riverside,CA,26.0,1229.0,0.8925,45632.0,0.5482
61,University of California-San Diego,CA,30.0,1372.0,0.9413,56844.0,0.616
62,University of California-Santa Barbara,CA,30.0,1360.0,0.9247,51496.0,0.6811
63,University of California-Santa Cruz,CA,29.0,1311.0,0.878,45632.0,0.4912
64,Chapman University,CA,28.0,1288.0,0.8972,53764.0,0.7028
65,Charles R Drew University of Medicine and Science,CA,21.0,982.0,0.5294,65724.0,1.0
66,Concordia University-Irvine,CA,24.0,1142.0,0.7774,47319.0,0.58
67,San Diego Christian College,CA,20.0,1055.0,0.5072,34669.0,0.3778
68,Claremont McKenna College,CA,33.0,1446.0,0.9631,80781.0,0.8454
69,Dominican University of California,CA,23.0,1126.0,0.8216,63540.0,0.5698
70,Fresno Pacific University,CA,20.0,1053.0,0.7598,42603.0,0.5234
71,Harvey Mudd College,CA,35.0,1531.0,0.9688,112059.0,0.8535
72,Holy Names University,CA,20.0,849.0,0.6307,56544.0,0.3435
